customer_id,customer_name,email,city,state,signup_date
CUST000001,Fatima Bansal,fatima.bansal410@mailbox.example,Hyderabad,TS,2022-04-03
CUST000002,Aadhya Mehta,aadhya.mehta8936@examplemail.com,Kolkata,WB,2023-05-15
CUST000003,Kabir Verma,kabir.verma1536@testmail.net,Hyderabad,TS,2023-11-01
CUST000004,Amara Verma,amara.verma9196@testmail.net,Patna,BR,2024-08-23
CUST000005,Yuki Okonkwo,yuki.okonkwo6874@testmail.net,Jaipur,RJ,2024-04-21
CUST000006,Lucas Sharma,lucas.sharma2616@demoinbox.org,Faridabad,HR,2022-07-24
CUST000007,Myra Sethi,myra.sethi5515@examplemail.com,Nagpur,MH,2023-02-18
CUST000008,Vihaan Ridley,vihaan.ridley5636@sample-mail.co,Delhi,DL,2025-07-11
CUST000009,Advik Dunmore,advik.dunmore8786@examplemail.com,Amritsar,PB,2023-02-15
CUST000010,Devansh Adeyemi,devansh.adeyemi4804@sample-mail.co,Raipur,CG,2023-01-11
CUST000011,Dimitri Pillai,dimitri.pillai1140@examplemail.com,Bhopal,MP,2022-04-12
CUST000012,Owen Gupta,owen.gupta3815@examplemail.com,Lucknow,UP,2022-07-24
CUST000013,Talia Lindqvist,talia.lindqvist5978@testmail.net,Noida,UP,2022-12-29
CUST000014,Pari Brightwater,pari.brightwater4375@examplemail.com,Bhubaneswar,OD,2024-07-24
CUST000015,Ira Okonkwo,ira.okonkwo4011@testmail.net,Jaipur,RJ,2023-02-17
CUST000016,Logan Lindqvist,logan.lindqvist9126@testmail.net,Bhopal,MP,2022-10-27
CUST000017,Ayaan Ahluwalia,ayaan.ahluwalia526@mailbox.example,Lucknow,UP,2022-07-03
CUST000018,Arjun Sethi,arjun.sethi9293@mailbox.example,Coimbatore,TN,2024-09-04
CUST000019,Andre Fairbanks,andre.fairbanks7518@testmail.net,Delhi,DL,2021-10-13
CUST000020,Noah Adeyemi,noah.adeyemi8831@mailbox.example,Chandigarh,CH,2024-04-12
CUST000021,Freya Karim,freya.karim6544@mailbox.example,Hyderabad,TS,2021-10-11
CUST000022,Yusuf Moreno,yusuf.moreno1490@examplemail.com,Dehradun,UK,2021-08-13
CUST000023,Myra Lindqvist,myra.lindqvist2622@demoinbox.org,Bhubaneswar,OD,2021-05-11
CUST000024,Mia Prescott,mia.prescott9764@demoinbox.org,Ahmedabad,GJ,2022-05-30
CUST000025,Santiago Sharma,santiago.sharma1877@sample-mail.co,Kochi,KL,2022-07-01
CUST000026,Ines Marsh,ines.marsh1828@mailbox.example,Kanpur,UP,2021-11-20
CUST000027,Talia Sharma,talia.sharma4316@sample-mail.co,Kochi,KL,2022-01-01
CUST000028,Omar Mehta,omar.mehta4890@sample-mail.co,Bhubaneswar,OD,2022-02-12
CUST000029,Myra Halloway,myra.halloway2647@sample-mail.co,Kochi,KL,2023-12-23
CUST000030,Aarav Novak,aarav.novak5311@demoinbox.org,Mumbai,MH,2021-08-18
CUST000031,Emma Whitfield,emma.whitfield3924@examplemail.com,Hyderabad,TS,2024-03-07
CUST000032,Devansh Gupta,devansh.gupta7963@examplemail.com,Kochi,KL,2023-12-27
CUST000033,Diya Chopra,diya.chopra7788@sample-mail.co,Chennai,TN,2022-06-27
CUST000034,Idris Novak,idris.novak6933@testmail.net,Amritsar,PB,2024-01-10
CUST000035,Hana Pillai,hana.pillai5108@demoinbox.org,Bhopal,MP,2024-08-23
CUST000036,Ava Beckett,ava.beckett8480@demoinbox.org,Bengaluru,KA,2022-05-23
CUST000037,Tanvi Reddy,tanvi.reddy5540@examplemail.com,Kolkata,WB,2024-02-09
CUST000038,Meher Karim,meher.karim3609@examplemail.com,Nagpur,MH,2024-12-20
CUST000039,Leila Iyer,leila.iyer3751@examplemail.com,Raipur,CG,2021-03-06
CUST000040,Rowan Reddy,rowan.reddy8424@testmail.net,Delhi,DL,2024-10-02
CUST000041,Luca Sethi,luca.sethi8835@testmail.net,Chandigarh,CH,2024-03-15
